Acceleration;Gender;Age;LateralAcceleration;VehicleSpeed;GearChanges;EngineSpeed;FuelConsum;Weight;DriverPerformance
0.052966;1;36.308;0.24189;83.546;5.5275;1393.9;33.878;32.026;2
0.083355;2;29.51;0.1991;75.305;2.0625;1264.1;28.645;27.234;3
0.16115;2;25.452;0.39129;78.012;7.0441;1512.3;35.743;30.146;1
0.088723;2;31.077;0.12482;75.598;1.2205;1032.6;31.902;32.151;3
0.18522;1;30.559;0.30736;82.278;2.0518;1745.3;29.192;27.475;2
0.019916;1;34.094;0.038242;83.967;1.174;1336.2;31.275;31.387;3
-0.0002927;1;29.806;0.1244;76.461;2.473;1226.3;31.166;29.024;3
0.016495;1;31.95;0.24034;73.093;0.83174;1413.8;30.851;30.669;3
0.024025;2;35.121;0.19802;69.101;1.7063;1230.4;31.949;30.101;3
0.070422;1;36.63;0.028139;80.583;2.2952;1236.2;32.342;30.213;3
0.1492;2;24.612;0.3618;86.597;2.0306;1760.6;32.618;28.911;2
0.0049888;1;28.641;0.055338;70.729;1.5186;1125.5;31.017;32.312;3
0.18624;2;22.493;0.27296;91.437;5.8806;1593.1;35.855;27.404;1
0.048481;2;34.388;0.062191;78.86;1.2069;1395.2;31.297;30.426;3
0.091563;2;21.7;0.17079;77.986;4.9887;1625.3;32.784;30.665;2
0.052334;1;30.244;0.028885;83.156;-0.22018;1090.3;29.346;30.296;3
0.17884;2;24.858;0.35436;90.476;3.7564;1750.6;36.399;29.238;1
0.16228;1;23.618;0.33414;84.773;4.469;1774.1;33.236;29.401;1
0.10048;2;25.62;0.1822;83.057;1.6403;1312.8;32.701;28.193;2
0.15333;2;29.213;0.33326;85.141;4.1319;1600.4;30.798;27.027;2
0.030664;2;32.422;0.11476;73.404;2.5494;1218.5;30.232;29.252;3
0.15289;2;28.11;0.25689;88.203;4.3865;1498.2;34.848;31.047;2
0.071818;1;35.154;0.222;77.534;1.4859;1494.5;32.77;29.092;2
0.13435;2;25.252;0.28932;77.725;5.0172;1462.3;32.838;28.658;2
0.09656;2;24.556;0.26939;78.859;8.4826;1693.4;35.381;31.268;1
0.084295;2;28.424;0.21059;82.406;2.5559;1653.1;33.421;29.98;2
-0.019532;2;30.222;0.066736;80.8;3.3964;1422.7;30.468;29.355;3
0.0953;1;32.442;0.19857;82.707;2.4462;1284.5;33.248;31.152;3
-0.069727;1;31.392;0.13219;85.259;1.8184;1161.5;33.31;31.106;3
0.027689;1;29.582;0.22778;80.234;2.2891;1302.3;29.461;29.775;3
0.25095;1;24.169;0.46057;95.175;5.0474;1644.5;35.708;28.259;1
0.12984;2;28.626;0.1852;83.723;3.17;1805.1;29.961;27.941;2
0.10269;2;21.609;0.24413;81.809;1.3432;1605.9;34.498;30.215;2
0.20755;1;21.969;0.32504;84.818;5.6183;1606.8;35.411;27.559;1
0.16798;2;30.963;0.20639;84.439;2.5377;1544.5;33.245;31.88;2
0.14572;2;22.672;0.27;85.632;8.3012;1772;33.636;27.672;1
0.068537;2;36.098;0.23575;80.608;3.2026;1493.5;32.678;31.954;3
0.015897;2;33.023;0.11477;77.069;2.3799;1146.6;29.911;31.217;3
-0.011969;2;34.326;0.090112;84.18;2.2241;1300;32.864;28.761;3
0.072295;2;24.674;0.20455;80.341;3.0105;1713.7;33.287;28.27;2
0.21992;2;20.37;0.39749;89.133;8.235;1705.3;38.382;30.883;1
0.045055;1;27.387;0.16004;78.608;3.6696;1462.1;33.42;30.662;3
0.14083;1;30.553;0.21329;85.599;2.8011;1416.8;31.79;28.56;2
0.016255;2;24.492;0.19639;81.149;1.6322;1297.8;32.181;30.792;3
0.24508;1;27.066;0.43972;84.306;6.1962;1764.3;35.087;30.999;1
0.090515;1;27.788;0.17614;83.247;4.761;1436.9;31.081;28.908;2
0.1165;1;22.341;0.1066;92.29;3.9252;1882.2;34.441;27.451;1
0.1071;2;30.193;0.11154;74.416;1.7399;1599;32.3;29.918;3
0.21795;1;21.278;0.38454;79.44;5.1844;1815.3;34.112;29.434;1
0.11794;1;27.055;0.21558;83.675;4.1233;1530;32.63;30.573;2
0.14317;2;26.498;0.20737;80.771;4.81;1474;33.822;29.46;2
0.0304;1;37.724;0.14575;77.254;2.1398;1415.3;33.21;30.91;3
0.0075957;2;30.061;0.25189;87.194;2.109;1668.4;34.518;30.804;2
0.11496;1;22.328;0.49145;90.47;8.5506;1724.6;36.795;30.566;1
0.16543;1;31.36;0.38619;82.028;3.8732;1436.4;31.684;28.614;2
0.16212;2;28.252;0.075722;82.039;4.8584;1766.4;32.236;29.718;2
0.18198;2;21.305;0.39756;89.317;4.5451;1667.4;35.79;29.217;1
0.18675;2;20.046;0.15021;83.149;3.5906;1316.8;35.348;32.835;2
0.063145;2;25.834;0.29805;85.807;4.2264;1537.7;32.125;29.034;2
0.13122;1;24.492;0.35248;82.714;3.0205;1564.6;33.063;29.59;2
0.10731;1;34.109;0.10734;72.218;3.2171;1349.8;31.85;31.425;3
0.13039;2;25.224;0.39497;88.396;5.4523;1859.6;33.809;30.783;1
0.19387;2;22.656;0.41055;94.776;3.8591;1629;33.614;27.353;1
0.16681;1;32.209;0.1124;85.77;0.93958;1355.3;28.789;28.665;3
0.12015;2;27.911;0.17058;87.661;5.1442;1603.9;32.063;29.514;2
0.094469;2;27.277;0.14211;87.746;3.3068;1487.9;33.927;31.029;2
0.11879;1;25.997;0.2793;86.806;4.7237;1318.9;36.513;32.045;1
-0.0090533;1;30.952;0.24769;88.022;1.292;1397.6;30.728;29.628;3
0.23226;1;21.788;0.25085;92.504;2.7356;1618.1;32.728;30.286;2
0.2268;2;26.996;0.37988;86.798;6.2765;1949.7;36.736;32.345;1
0.10306;2;30.119;0.36516;83.084;2.7217;1394.1;33.115;29.367;2
0.071599;2;30.469;0.048852;69.076;0.79549;1417.7;31.164;29.533;3
0.14698;2;25.157;0.46838;89.052;3.6516;1831.3;33.66;25.496;1
0.1464;1;21.526;0.22575;86.123;4.41;1653.6;37.14;31.418;1
0.15914;1;26.643;0.4665;85.971;5.5109;2032.7;32.661;26.723;1
